Bin	Full.Model	Reduced.Model	Stein.Scott.Similarity	Stein.Scott.Similarity.Nist	DFT.Correlation	DWT.Correlation	Weighted.Cosine.Correlation	Inner.Product.Distance	Truth.Annotation
UDN_BG_A_C_OHSU029_M_062 & 11	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 12	1	2	1	3	3	3	3	4	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 14	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 17	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 26	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 29	1	1	2	2	2	3	2	2	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 34	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 35	1	1	2	2	3	3	3	3	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 36	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 37	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 38	1	2	2	2	2	2	2	2	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 40	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 43	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 44	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 47	1	2	1	1	1	2	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 48	1	1	1	1	1	1	2	2	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 49	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 59	1	7	6	5	4	4	6	7	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 67	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 73	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 74	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 84	2	1	1	1	1	1	2	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 100	3	5	2	2	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 103	3	3	6	6	2	2	2	14	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 104	1	3	2	2	2	2	2	4	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 116	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 120	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU029_M_062 & 121	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 11	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 12	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 14	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 17	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 28	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 30	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 43	2	1	2	2	3	3	2	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 44	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 45	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 46	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 48	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 53	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 58	1	1	1	1	1	2	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 59	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 61	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 63	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 66	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 72	1	8	5	5	5	3	6	6	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 81	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 88	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 89	1	1	5	11	8	13	11	14	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 98	1	1	1	1	1	1	2	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 115	2	2	2	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 119	3	34	50	50	40	44	50	46	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 120	1	4	2	2	2	2	2	7	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 139	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU039_M_074 & 143	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 12	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 13	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 15	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 17	1	1	1	1	7	5	10	8	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 31	4	3	3	2	6	6	3	11	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 40	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 41	1	1	2	2	3	3	2	3	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 42	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 43	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 44	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 47	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 49	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 50	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 55	1	2	2	2	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 56	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 57	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 59	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 62	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 64	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 69	1	6	5	5	6	5	6	7	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 77	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 85	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 86	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 97	1	1	1	1	1	1	2	3	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 112	3	4	2	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 114	1	1	2	2	1	2	1	12	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 115	1	2	2	2	2	2	2	6	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 124	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 129	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU048_M_089 & 133	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 13	1	1	1	2	2	2	2	2	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 14	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 16	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 19	1	2	1	1	15	12	13	21	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 31	3	3	3	3	3	3	3	3	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 39	3	14	2	3	4	4	3	5	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 40	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 41	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 42	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 43	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 49	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 50	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 54	1	2	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 55	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 57	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 59	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 62	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 64	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 69	1	1	5	4	3	3	7	7	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 77	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 86	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 87	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 99	1	1	1	1	1	1	2	3	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 114	2	1	2	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 117	1	3	5	5	2	2	2	10	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 118	1	4	2	2	2	2	2	4	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 127	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 131	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU058_M_066 & 132	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 10	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 11	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 12	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 15	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 23	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 25	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 35	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 36	2	2	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 37	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 38	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 39	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 40	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 42	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 43	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 44	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 45	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 48	1	2	1	1	2	2	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 49	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 50	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 52	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 56	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 58	1	8	5	4	5	5	7	7	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 65	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 72	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 73	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 84	1	1	1	1	3	1	4	3	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 101	2	2	2	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 104	1	1	6	6	6	6	3	17	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 105	1	1	2	2	2	2	2	4	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 117	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU059_M_067 & 119	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 10	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 11	3	2	4	4	3	3	3	4	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 13	4	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 15	2	1	2	1	6	7	8	7	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 25	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 28	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 39	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 40	1	1	2	2	3	3	3	3	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 41	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 43	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 44	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 45	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 47	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 51	1	2	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 52	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 53	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 58	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 60	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 63	1	1	5	3	2	2	7	7	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 71	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 80	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 81	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 108	2	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 112	1	4	4	2	1	1	2	9	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 113	1	1	2	2	2	2	2	4	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 123	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 128	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU073_M_076 & 132	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 14	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 17	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 30	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 39	2	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 40	1	1	2	2	2	3	3	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 41	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 43	2	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 47	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 52	1	2	1	1	2	2	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 53	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 56	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 59	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 61	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 63	1	8	5	5	6	7	7	8	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 76	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 77	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 84	1	1	1	1	1	1	3	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 96	4	5	2	2	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 99	7	6	6	6	6	6	6	21	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 100	1	1	2	2	2	2	2	5	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 110	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 115	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU076_M_064 & 118	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 10	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 12	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 15	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 24	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 27	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 30	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 31	2	2	2	3	3	2	2	3	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 33	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 34	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 35	1	2	2	2	2	2	2	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 36	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 37	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 38	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 39	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 40	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 43	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 44	1	1	1	1	1	1	2	2	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 52	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 54	1	8	6	4	6	6	7	7	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 61	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 70	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 71	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 79	3	1	3	2	3	3	4	4	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 94	2	4	2	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 97	1	6	6	6	6	6	6	13	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 98	1	2	2	2	2	2	2	6	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 107	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 110	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU078_M_072 & 113	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 9	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 11	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 13	1	1	2	2	3	4	4	6	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 27	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 31	5	7	1	1	8	10	5	20	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 36	1	1	1	1	1	2	1	2	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 37	1	1	2	2	3	3	2	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 38	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 39	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 40	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 42	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 44	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 49	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 50	1	1	1	1	1	1	2	2	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 53	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 56	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 57	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 59	1	7	6	4	6	3	7	7	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 68	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 75	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 76	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 85	1	1	1	1	2	1	4	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 97	1	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 100	1	2	5	6	2	2	2	10	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 101	1	2	2	2	2	2	2	4	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 110	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 115	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_OHSU085_M_061 & 117	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 11	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 14	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 17	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 18	10	28	10	8	7	6	7	6	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 26	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 33	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 34	3	1	1	2	3	3	2	3	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 35	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 36	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_QC_Pool_M_068 & 37	1	1	1	1	1	1	1	2	True.Positive
